GPS Log,,,,,,,,
Item,Date,Elapse (s),Longitude,Latitude,Altitude (m),Heading,Speed (km/h),Total Distance (km)
148,39:01.1,"1,106.00",-2.43695,51.377338,71.3,155.5,0.9,0.246
149,39:07.1,"1,112.00",-2.436951,51.377338,71.3,165.4,0,0.246
150,39:08.1,"1,113.00",-2.436956,51.377332,71.3,165.4,2.7,0.247
151,39:23.1,"1,128.00",-2.436957,51.37733,71.3,166.5,0,0.247
152,39:34.1,"1,139.00",-2.436951,51.377337,71.3,161.8,0.3,0.248
153,39:35.1,"1,140.00",-2.436965,51.377331,71.3,161.3,4.3,0.249
154,39:41.1,"1,146.00",-2.436951,51.377338,71.3,161.2,0.7,0.251
155,39:47.1,"1,152.00",-2.436949,51.377338,71.3,158.6,0.1,0.251
156,39:48.1,"1,153.00",-2.436957,51.377324,71.3,158.6,6.1,0.252
157,39:54.1,"1,159.00",-2.436951,51.377337,71.3,162.2,1,0.254
158,40:00.1,"1,165.00",-2.436949,51.377336,71.3,162.7,0.1,0.254
159,40:01.1,"1,166.00",-2.436959,51.377337,71.3,162.7,2.6,0.255
160,40:07.1,"1,172.00",-2.436951,51.37734,71.3,163.7,0.4,0.255
161,40:08.1,"1,173.00",-2.436951,51.377314,71.3,163.7,10.5,0.258
162,40:14.1,"1,179.00",-2.436949,51.377335,71.3,161,1.4,0.261
163,40:21.1,"1,186.00",-2.436951,51.377338,71.3,153.9,0.1,0.261
164,40:29.1,"1,194.00",-2.43695,51.377338,71.3,162.7,0,0.261
165,40:30.1,"1,195.00",-2.436957,51.377337,71.3,162.7,1.7,0.262
166,40:41.1,"1,206.00",-2.436951,51.377338,71.3,160.2,0.1,0.262
167,40:42.1,"1,207.00",-2.436955,51.377316,71.3,160.2,9,0.265
168,40:48.1,"1,213.00",-2.436951,51.377332,71.3,160.2,1.1,0.266
169,40:49.1,"1,214.00",-2.436957,51.377327,71.3,160.2,2.3,0.267
170,41:04.1,"1,229.00",-2.436958,51.377326,71.3,160.2,0,0.267
171,41:13.1,"1,238.00",-2.436953,51.377334,71.3,160.2,0.4,0.268
172,41:24.1,"1,249.00",-2.436949,51.377325,71.3,160.2,0.4,0.269
173,41:30.1,"1,255.00",-2.436951,51.377337,71.3,161.2,0.9,0.271
174,41:31.1,"1,256.00",-2.43695,51.377319,71.3,161.2,7.3,0.273
175,41:46.1,"1,271.00",-2.43695,51.377315,71.3,161.2,0.1,0.273
176,41:54.1,"1,279.00",-2.43695,51.377329,71.3,161.2,0.7,0.275
177,41:55.1,"1,280.00",-2.436947,51.377318,71.3,161.2,4.6,0.276
178,42:10.1,"1,295.00",-2.436946,51.377315,71.3,161.2,0.1,0.276
179,42:25.1,"1,310.00",-2.436946,51.377314,71.3,161.2,0,0.276
180,42:40.1,"1,325.00",-2.436946,51.377314,71.3,161.2,0,0.276
181,42:52.1,"1,337.00",-2.436948,51.377328,69.4,161.2,0.5,0.278
182,42:53.1,"1,338.00",-2.436955,51.377332,69.4,161.2,2.2,0.279
183,43:07.1,"1,352.00",-2.436951,51.377337,69.3,160,0.2,0.279
184,43:13.1,"1,358.00",-2.436948,51.377335,69.3,160,0.2,0.28
185,43:20.1,"1,365.00",-2.436951,51.37734,69.3,166.8,0.3,0.28
186,43:21.1,"1,366.00",-2.436956,51.377322,69.3,166.8,7.3,0.282
187,43:27.1,"1,372.00",-2.43695,51.377337,69.3,166.8,1,0.284
188,43:42.1,"1,387.00",-2.43695,51.377338,69.3,165.6,0,0.284
189,43:49.1,"1,394.00",-2.43695,51.377335,69.3,165.6,0.2,0.284
190,43:50.1,"1,395.00",-2.436937,51.377295,69.3,165.6,16.5,0.289
191,44:05.1,"1,410.00",-2.436945,51.377322,69.3,165.6,0.7,0.292
192,44:12.1,"1,417.00",-2.43695,51.377335,69.3,165.6,0.8,0.294
193,44:18.1,"1,423.00",-2.436951,51.377339,69.3,169.6,0.3,0.294
194,44:19.1,"1,424.00",-2.43694,51.377305,69.3,169.6,14.1,0.298
195,44:25.1,"1,430.00",-2.436948,51.377335,69.3,169.8,2,0.301
196,44:31.1,"1,436.00",-2.43695,51.377336,69.3,169.7,0.1,0.302
197,44:32.1,"1,437.00",-2.436942,51.377307,69.3,169.7,11.9,0.305
198,44:42.1,"1,447.00",-2.436948,51.377328,69.3,169.7,0.9,0.307
199,44:49.1,"1,454.00",-2.43695,51.377333,69.3,174.9,0.3,0.308
200,44:50.1,"1,455.00",-2.436955,51.377329,69.3,174.9,1.9,0.308
201,45:05.1,"1,470.00",-2.436952,51.377337,69.3,175.9,0.2,0.309
202,45:15.1,"1,480.00",-2.436951,51.377334,69.3,174.9,0.1,0.309
203,45:16.1,"1,481.00",-2.436952,51.377325,69.3,174.9,3.5,0.31
204,45:31.1,"1,496.00",-2.436951,51.377333,69.3,171.5,0.2,0.311
205,45:37.1,"1,502.00",-2.43695,51.377338,69.3,162.2,0.3,0.312
206,45:43.1,"1,508.00",-2.436951,51.377338,69.3,161.1,0.1,0.312
207,45:44.1,"1,509.00",-2.436964,51.377322,69.3,161.1,7.1,0.314
208,45:51.1,"1,516.00",-2.436951,51.377337,69.3,162.1,1,0.316
209,46:00.1,"1,525.00",-2.436951,51.377341,69.3,160.1,0.1,0.316
210,46:01.1,"1,526.00",-2.436944,51.377307,69.3,160.1,13.7,0.32
211,46:08.1,"1,533.00",-2.436949,51.377333,69.3,160.1,1.5,0.323
212,46:16.1,"1,541.00",-2.436946,51.377328,69.3,161.2,0.3,0.324
213,46:31.1,"1,556.00",-2.436946,51.377292,69.3,161.2,0.9,0.327
214,46:46.1,"1,571.00",-2.436949,51.37733,69.3,171.2,1,0.332
215,46:47.1,"1,572.00",-2.436949,51.377314,69.3,171.2,6.2,0.333
216,46:56.1,"1,581.00",-2.43695,51.37733,69.3,170.2,0.7,0.335
217,47:02.1,"1,587.00",-2.436952,51.377332,69.3,170.2,0.1,0.335
218,47:03.1,"1,588.00",-2.436955,51.377326,69.3,170.2,2.6,0.336
219,47:16.1,"1,601.00",-2.436951,51.377336,69.3,172.5,0.3,0.337
220,47:17.1,"1,602.00",-2.436951,51.37732,69.3,171.4,6.4,0.339
221,47:23.1,"1,608.00",-2.43695,51.377337,69.3,174.7,1.1,0.341
222,47:36.1,"1,621.00",-2.436952,51.377338,69.3,171.6,0.1,0.341
223,47:48.1,"1,633.00",-2.436951,51.377338,69.3,165.2,0,0.341
224,47:49.1,"1,634.00",-2.436953,51.377334,69.3,166.2,1.7,0.342
225,47:55.1,"1,640.00",-2.43695,51.377338,69.3,165.1,0.3,0.342
226,48:01.1,"1,646.00",-2.436947,51.377329,69.3,165.1,0.6,0.343
227,48:02.1,"1,647.00",-2.436949,51.377323,69.3,165.1,2.6,0.344
228,48:17.1,"1,662.00",-2.43695,51.377321,69.3,165.1,0,0.344
229,48:32.1,"1,677.00",-2.43695,51.377321,69.3,165.1,0,0.344
230,48:47.1,"1,692.00",-2.43695,51.377321,69.3,165.1,0,0.344
231,48:59.1,"1,704.00",-2.43695,51.377332,69.3,166.2,0.4,0.345
232,49:00.1,"1,705.00",-2.436942,51.377303,69.3,166.2,11.5,0.349
233,49:15.1,"1,720.00",-2.43694,51.377296,69.3,166.2,0.2,0.349
234,49:23.1,"1,728.00",-2.436946,51.377324,69.3,167.2,1.4,0.352
235,49:38.1,"1,743.00",-2.436952,51.377337,69.3,166.2,0.4,0.354
236,49:39.1,"1,744.00",-2.436954,51.377322,69.3,162.9,6.2,0.356
237,49:45.1,"1,750.00",-2.43695,51.377337,69.3,165.1,1,0.357
238,49:57.1,"1,762.00",-2.436957,51.377333,69.3,167.3,0.2,0.358
239,49:58.1,"1,763.00",-2.436938,51.377296,69.3,167.3,15.6,0.362
240,50:04.1,"1,769.00",-2.436946,51.377325,69.3,167.3,2,0.366
241,50:05.1,"1,770.00",-2.436957,51.377324,69.3,167.3,2.8,0.366
242,50:11.1,"1,776.00",-2.436953,51.377333,69.3,167.3,0.6,0.367
243,50:12.1,"1,777.00",-2.436949,51.377317,69.3,167.3,6.4,0.369
244,50:21.1,"1,786.00",-2.43695,51.37733,69.3,166.1,0.6,0.371
245,50:32.1,"1,797.00",-2.43695,51.377335,69.3,167.1,0.2,0.371
246,50:47.1,"1,812.00",-2.436949,51.377304,69.3,167.1,0.8,0.375
247,51:02.1,"1,827.00",-2.436949,51.377303,69.3,167.1,0,0.375
248,51:15.1,"1,840.00",-2.43695,51.377332,69.3,166.1,0.9,0.378
249,51:16.1,"1,841.00",-2.436944,51.377309,69.3,166.1,9.5,0.381
250,51:27.1,"1,852.00",-2.436949,51.377333,69.3,166.1,0.9,0.383
251,51:42.1,"1,867.00",-2.436951,51.377324,69.3,167.3,0.2,0.384
