Item,Date,Elapse (s),Longitude,Latitude,Altitude (m),Heading,Speed (km/h),Total Distance (km)
117,36:14.0,117,-2.497364,51.445188,61.7,91.2,2.9,0.395
118,36:15.0,118,-2.497373,51.445189,61.8,91.2,2.3,0.395
119,36:16.0,119,-2.497373,51.445189,61.7,91.2,0.3,0.395
120,36:17.0,120,-2.497373,51.44519,61.8,91.2,0,0.395
121,36:18.0,121,-2.497373,51.44519,61.8,91.2,0.3,0.396
122,36:19.0,122,-2.497373,51.445192,61.8,90.2,0.8,0.396
123,36:20.0,123,-2.497358,51.445185,61.9,73.4,4.7,0.397
124,36:21.0,124,-2.497372,51.445187,63.9,70.5,3.7,0.398
125,36:22.0,125,-2.497372,51.445185,63.6,68.5,0.8,0.398
126,36:23.0,126,-2.497372,51.445183,63.5,61.1,0.5,0.398
